Station Name,Latitude,Longitude,Location
Damen Ave & Charleston St,41.920082,-87.677855,POINT (-87.677855 41.920082)
Laramie Ave & Kinzie St,41.887832,-87.755527,POINT (-87.755527 41.887832)
Warren Park West,42.001785,-87.688829,POINT (-87.688829 42.001785)
Lockwood Ave & Wrightwood Ave,41.927766,-87.758544,POINT (-87.758544 41.927766)
California Ave & Cortez St,41.900363,-87.696704,POINT (-87.696704 41.900363)
LaSalle Dr & Huron St,41.894877,-87.632326,POINT (-87.632326 41.894877)
California Ave & 36th St,41.828098,-87.694684,POINT (-87.694684 41.828098)
Blackstone Ave & 59th St,41.787877,-87.590461,POINT (-87.590461 41.787877)
Dorchester Ave & 49th St,41.805772,-87.592464,POINT (-87.592464 41.805772)
MLK Jr Dr & 83rd St,41.743116,-87.6148,POINT (-87.6148 41.743116)
Archer (Damen) Ave & 37th St,41.826712,-87.683144,POINT (-87.683144 41.826712)
Eckhart Park,41.89637337,-87.66098386,POINT (-87.66098386 41.89637337)
Clinton St & Jackson Blvd,41.8783166118,-87.6409810781,POINT (-87.640981078148 41.878316611831)
Vincennes Ave & 79th St,41.7506,-87.63409,POINT (-87.63409 41.7506)
California & 16th St,41.859228,-87.695562,POINT (-87.695562 41.859228)
Leavitt St & Chicago Ave,41.895501,-87.682017,POINT (-87.682017 41.895501)
Yates Blvd & 75th St,41.758768,-87.56644,POINT (-87.56644 41.758768)
Central Park Ave & 24th St,41.8481,-87.715068,POINT (-87.715068 41.8481)
Racine Ave & 15th St,41.861267,-87.656625,POINT (-87.656625 41.861267)
Indiana Ave & 133rd St,41.6538,-87.61719,POINT (-87.61719 41.6538)
Clark St & Berwyn Ave,41.9780306225,-87.6685649157,POINT (-87.668564915657 41.978030622487)
Scottsdale Park,41.741966,-87.736179,POINT (-87.736179 41.741966)
Desplaines St & Jackson Blvd,41.8781189009,-87.6439476013,POINT (-87.643947601318 41.878118900912)
Menard Ave & Lawrence Ave,41.96788,-87.77274,POINT (-87.77274 41.96788)
Damen Ave & 51st St,41.800908,-87.674684,POINT (-87.674684 41.800908)
Clark St & Montrose Ave,41.961588,-87.666036,POINT (-87.666036 41.961588)
Clark St & Schreiber Ave,41.999245,-87.671249,POINT (-87.671249 41.999245)
Halsted St & 35th St,41.830661,-87.647172,POINT (-87.647172 41.830661)
Cicero Ave & Quincy St,41.877613,-87.745405,POINT (-87.745405 41.877613)
Pulaski Rd & 60th St,41.784186,-87.722564,POINT (-87.722564 41.784186)
South Shore Dr & 71st St,41.7664094567,-87.5656875719,POINT (-87.5656875719 41.7664094567)
Leavitt St & Armitage Ave,41.917805,-87.682437,POINT (-87.682437 41.917805)
Kimbark Ave & 53rd St,41.7994549,-87.5947779,POINT (-87.5947779 41.7994549)
Fairbanks St & Superior St,41.895748,-87.620104,POINT (-87.620104 41.895748)
Glenwood Ave & Morse Ave,42.0079719229,-87.6655023944,POINT (-87.6655023944 42.00797192287)
Sheridan Rd & Irving Park Rd,41.954245,-87.654406,POINT (-87.654406 41.954245)
Indiana Ave & 40th St,41.82168,-87.6216,POINT (-87.6216 41.82168)
Ellis Ave & 58th St,41.788746,-87.601334,POINT (-87.601334 41.788746)
St Louis Ave & Norman Bobbins Pl,41.79439,-87.71132,POINT (-87.71132 41.79439)
Keeler Ave & Carmen Ave,41.974323,-87.7331,POINT (-87.7331 41.974323)
Kilbourn Ave & Roscoe St,41.942722,-87.739557,POINT (-87.739557 41.942722)
Drake Ave & Montrose Ave,41.9611540757,-87.7165690733,POINT (-87.7165690733 41.96115407569)
W Washington Blvd & N Peoria St,41.883043,-87.649931,POINT (-87.649931 41.883043)
Lake Park Ave & 35th St,41.8312742355,-87.6087991946,POINT (-87.6087991946 41.83127423549)
Sheridan Rd & Buena Ave,41.958494,-87.654966,POINT (-87.654966 41.958494)
Sayre Ave & Diversey Ave,41.93098,-87.80106,POINT (-87.80106 41.93098)
Stewart Ave & 123rd St,41.6706,-87.63244,POINT (-87.63244 41.6706)
Sheffield Ave & Webster Ave,41.92154,-87.653818,POINT (-87.653818 41.92154)
Panama Ave & Grace St,41.94766,-87.82925,POINT (-87.82925 41.94766)
Western Ave & Grace St,41.95039,-87.688234,POINT (-87.688234 41.95039)
Vernon Ave & 79th St,41.75094,-87.61379,POINT (-87.61379 41.75094)
Pulaski Rd & Eddy St,41.946264,-87.731023,POINT (-87.731023 41.946264)
Kedzie Ave & Foster Ave,41.975672,-87.709261,POINT (-87.709261 41.975672)
Austin Blvd & Chicago Ave,41.894887,-87.774704,POINT (-87.774704 41.894887)
Broadway & Berwyn Ave,41.978361,-87.659789,POINT (-87.659789 41.978361)
N Shore Channel Trail & Argyle St,41.972177,-87.702749,POINT (-87.702749 41.972177)
Morgan St & 31st St,41.8378,-87.65114,POINT (-87.65114 41.8378)
Keystone Ave & Fullerton Ave,41.92459,-87.72785,POINT (-87.72785 41.92459)
Wallace St & Pershing Rd,41.82339,-87.64118,POINT (-87.64118 41.82339)
Meade Ave & Diversey Ave,41.93086,-87.77845,POINT (-87.77845 41.93086)
Kostner Ave & Wrightwood Ave,41.927957,-87.735952,POINT (-87.735952 41.927957)
Kildare Ave & 55th St,41.79332,-87.73059,POINT (-87.73059 41.79332)
Racine Ave & Garfield Blvd,41.794228,-87.655073,POINT (-87.655073 41.794228)
Campbell Ave & Montrose Ave,41.961524,-87.691177,POINT (-87.691177 41.961524)
Ashland Ave & Wrightwood Ave,41.92883,-87.668507,POINT (-87.668507 41.92883)
Indiana Ave & 133rd St,41.653564,-87.617054,POINT (-87.617054 41.653564)
Eberhart Ave & 131st St,41.6584131511,-87.610710897,POINT (-87.610710896988 41.658413151101)
Dearborn St & Adams St,41.8793563587,-87.6297910363,POINT (-87.6297910363 41.8793563587)
Griffin Museum of Science and Industry,41.7917282095,-87.583945009,POINT (-87.583945009 41.79172820953)
Wabash Ave & Adams St,41.8794723523,-87.6256886059,POINT (-87.6256886059 41.87947235235)
Komensky Ave & 31st St,41.836708,-87.725641,POINT (-87.725641 41.836708)
Kilpatrick Ave & Parker Ave,41.930736,-87.744082,POINT (-87.744082 41.930736)
N Damen Ave & W Chicago Ave,41.895809,-87.678519,POINT (-87.678519 41.895809)
St. Louis & 71st St,41.764354,-87.710121,POINT (-87.710121 41.764354)
Union Ave & Root St,41.819102,-87.643278,POINT (-87.643278 41.819102)
Canal St & Adams St,41.879255,-87.639904,POINT (-87.639904 41.879255)
Michigan Ave & Ida B Wells Dr,41.876203,-87.624464,POINT (-87.624464 41.876203)
Pershing Rd & Sacramento Ave,41.8223772681,-87.69975413,POINT (-87.699754130038 41.822377268101)
Clark St & Chicago Ave,41.89675,-87.63089,POINT (-87.63089 41.89675)
Walsh Park,41.91461,-87.667968,POINT (-87.667968 41.91461)
Pulaski Rd & Lake St,41.885409,-87.726491,POINT (-87.726491 41.885409)
Racine Ave & Randolph St,41.8840812248,-87.6569207293,POINT (-87.656920729303 41.884081224847)
Woodlawn Ave & 55th St,41.795264,-87.596471,POINT (-87.596471 41.795264)
Spaulding Ave & 63rd,41.7791655,-87.7056392,POINT (-87.7056392 41.7791655)
Campbell Ave & Augusta Blvd,41.899578,-87.689497,POINT (-87.689497 41.899578)
Tripp Ave & 31st St,41.836966,-87.730502,POINT (-87.730502 41.836966)
Kedzie Ave & 83rd St,41.742523,-87.702279,POINT (-87.702279 41.742523)
Francisco Ave & Montrose Ave,41.9610471,-87.700901,POINT (-87.700901 41.9610471)
Komensky Ave & 47th St,41.80769,-87.72472,POINT (-87.72472 41.80769)
State St & 54th St,41.796642,-87.625923,POINT (-87.625923 41.796642)
Wood St & 84th St,41.741192,-87.668106,POINT (-87.668106 41.741192)
W 103rd St & S Avers Ave,41.705846,-87.717074,POINT (-87.717074 41.705846)
South Chicago Ave & Elliot Ave,41.747363,-87.580046,POINT (-87.580046 41.747363)
Fullerton & Monitor,41.9237918,-87.7723116,POINT (-87.7723116 41.9237918)
Homan Ave & 65th St,41.775144,-87.708129,POINT (-87.708129 41.775144)
Stony Island Ave & 64th St,41.778881,-87.586647,POINT (-87.586647 41.778881)
Ashland Ave & Pershing Rd,41.823465,-87.665577,POINT (-87.665577 41.823465)
California Ave & Winona St,41.974712,-87.697852,POINT (-87.697852 41.974712)
Elston Ave & Wabansia Ave,41.912919,-87.664169,POINT (-87.664169 41.912919)
Greenview Ave & Diversey Pkwy,41.9325896343,-87.6659363508,POINT (-87.665936350822 41.932589634298)
Western Ave & 24th St,41.84847,-87.685109,POINT (-87.685109 41.84847)
North Ave & New England Ave,41.9092204,-87.7971406,POINT (-87.7971406 41.9092204)
Damen Ave & Wabansia Ave,41.9122813,-87.6773211,POINT (-87.6773211 41.9122813)
Racine Ave & Washington Blvd,41.883073,-87.656952,POINT (-87.656952 41.883073)
Mango Ave & North Ave,41.90958,-87.7691175,POINT (-87.7691175 41.90958)
Racine Ave & 18th St,41.8583996,-87.6564226,POINT (-87.6564226 41.8583996)
Damen Ave & Pierce Ave,41.9088152,-87.6771937,POINT (-87.6771937 41.9088152)
Ashland Ave & Belle Plaine Ave,41.956057,-87.668835,POINT (-87.668835 41.956057)
Whipple/Irving Park,41.954189,-87.704448,POINT (-87.704448 41.954189)
Artesian Ave & Marquette Rd,41.77203,-87.684637,POINT (-87.684637 41.77203)
Rush St & Hubbard St,41.890173,-87.626185,POINT (-87.626185 41.890173)
Dearborn St & Monroe St,41.881319815,-87.6295209193,POINT (-87.6295209193 41.881319815)
Western Ave & Monroe St,41.88142526,-87.6866316818,POINT (-87.6866316818 41.88142526)
Ogden Ave & Congress Pkwy,41.87501,-87.67328,POINT (-87.67328 41.87501)
State St & 76th St,41.756971,-87.624621,POINT (-87.624621 41.756971)
Damen Ave & 87th St,41.736044,-87.672861,POINT (-87.672861 41.736044)
Glenwood Ave & Touhy Ave,42.012701,-87.666058,POINT (-87.666058 42.012701)
Eggleston Ave & 69th St,41.768898,-87.635876,POINT (-87.635876 41.768898)
